AnimalName,AnimalGender,AgeAsOf2015,BreedName,Borough
166Y,M,3,Pug,Manhattan
2CHAINZ,M,3,American Pit Bull Terrier/Pit Bull,Queens
2J,M,2,American Pit Bull Terrier/Pit Bull,Queens
A,M,1,Yorkshire Terrier,Bronx
A.,M,2,Beagle,Queens
A.,M,2,Beagle,Queens
A.J,M,4,Maltese,Queens
A.J,M,4,Maltese,Queens
A.J.,M,11,Puggle,Staten Island
A.J.,M,10,Shih Tzu,Manhattan
A.J.,M,3,Unknown,Manhattan
AALIYAH,F,14,Yorkshire Terrier,Queens
AALIYAH,F,11,Pug,Brooklyn
AALIYAH,F,13,Unknown,Queens
AALIYAH,F,5,Unknown,Manhattan
AALIYAH,F,14,American Staffordshire Terrier,Brooklyn
AALIYAH,F,3,Doberman Pinscher,Queens
AALIYAH,F,11,Pug,Brooklyn
AALSKA,F,3,American Eskimo dog,Queens
AARAV,M,8,Yorkshire Terrier,Manhattan
AARON,M,4,Unknown,Manhattan
AARON,M,3,"Poodle, Standard",Queens
AARON,M,2,American Pit Bull Terrier/Pit Bull,Brooklyn
AARON,M,3,"Poodle, Standard",Queens
AARON,M,4,Labrador Retriever Crossbreed,Brooklyn
AARON,M,7,Labrador Retriever,Manhattan
AARON,M,9,Unknown,Brooklyn
AARYN,F,3,Australian Cattledog,Manhattan
ABACA,M,5,Yorkshire Terrier,Bronx
ABAGAIL,F,2,American Pit Bull Terrier/Pit Bull,Brooklyn
ABBA,F,2,American Pit Bull Mix / Pit Bull Mix,Brooklyn
ABBEY,F,8,German Shepherd Dog,Staten Island
ABBEY,F,2,Border Terrier,Manhattan
ABBEY,F,3,Weimaraner,Queens
ABBEY,F,14,Labrador Retriever,Brooklyn
ABBEY,F,5,Beagle Crossbreed,Brooklyn
ABBEY,F,12,Unknown,Staten Island
ABBEY,F,3,Labrador Retriever,Manhattan
ABBEY,F,5,German Shepherd Crossbreed,Staten Island
ABBEY,F,13,Bassett Hound,BROOKLYN
ABBEY,F,10,German Shepherd Crossbreed,Staten Island
ABBEY,F,11,German Shepherd Dog,Bronx
ABBEY,F,5,Beagle Crossbreed,Staten Island
ABBEY,F,2,Beagle Crossbreed,Manhattan
ABBEY,F,9,Boston Terrier,Manhattan
ABBEY,F,11,Rhodesian Ridgeback,Manhattan
ABBEY,F,6,Rhodesian Ridgeback,Manhattan
ABBEY,F,5,American Pit Bull Mix / Pit Bull Mix,Staten Island
ABBEY,F,11,Unknown,Manhattan
ABBEY,F,2,Poodle,Queens
ABBEY,F,3,Brussels Griffon,Manhattan
ABBEY,F,7,American Pit Bull Mix / Pit Bull Mix,Brooklyn
ABBEY,F,13,Unknown,Queens
ABBEY,F,9,"Welsh Corgi, Pembroke",Manhattan
ABBEY,F,16,Papillon,Manhattan
ABBEY,F,7,Pekingese,Staten Island
ABBEY,F,3,Petit Basset Griffon Vendeen,Manhattan
ABBEY,F,6,Labrador Retriever Crossbreed,Bronx
ABBEY,F,5,Whippet,Manhattan
ABBEYROAD,F,9,Labrador Retriever,Bronx
ABBI,F,10,German Shepherd Dog,Staten Island
ABBI,F,4,Yorkshire Terrier,Manhattan
ABBIE,F,4,Unknown,Brooklyn
ABBIE,F,8,Labrador Retriever,Brooklyn
ABBIE,F,13,"Schnauzer, Miniature",Brooklyn
ABBIE,F,8,Beagle,Manhattan
ABBIE,F,10,Cairn Terrier,Manhattan
ABBIE,F,10,"Shar-Pei, Chinese",Bronx
ABBIE,F,10,"Shar-Pei, Chinese",Bronx
ABBIE,F,10,Golden Retriever,Brooklyn
ABBIE,F,8,Labrador Retriever,Brooklyn
ABBIE,F,13,Unknown,Queens
ABBIE,F,11,Pekingese,Brooklyn
ABBIE,F,6,German Shepherd Dog,Staten Island
ABBIE,F,13,Unknown,Queens
ABBIE,F,2,Unknown,Queens
ABBIE,F,2,Unknown,Queens
ABBIE,F,8,Golden Retriever,Brooklyn
ABBIE,F,13,"Schnauzer, Miniature",Brooklyn
ABBIE,F,6,Unknown,Brooklyn
AB-BINGO,M,7,Unknown,Brooklyn
ABBOTT,M,2,Shih Tzu,Manhattan
ABBOTT,M,2,Pug,Bronx
ABBOTT,M,2,"Schnauzer, Miniature",Queens
ABBOTT,F,9,American Pit Bull Terrier/Pit Bull,Bronx
ABBOTT,M,2,Jindo,Manhattan
ABBOTT,M,6,Dachshund,Bronx
ABBY,F,16,Afghan Hound,Manhattan
ABBY,F,3,Yorkshire Terrier,Bronx
ABBY,F,15,Labrador Retriever,Brooklyn
ABBY,F,6,Labrador Retriever,Staten Island
ABBY,F,4,Unknown,Manhattan
ABBY,F,3,Unknown,Staten Island
ABBY,F,3,Havanese,Queens
ABBY,F,13,Golden Retriever,Queens
ABBY,F,7,Unknown,Staten Island
ABBY,F,16,Labrador Retriever,Queens
ABBY,F,5,Unknown,Queens
ABBY,F,3,Maltese,Queens
ABBY,F,17,Chihuahua,Brooklyn
ABBY,F,15,Maltese,Queens
ABBY,F,6,Chow Chow,Staten Island
ABBY,F,6,Lhasa Apso,Manhattan
ABBY,F,6,Beagle,Manhattan
ABBY,F,4,Cocker Spaniel,Staten Island
ABBY,F,12,Collie Crossbreed,Queens
ABBY,F,6,"Bull Dog, French",Manhattan
ABBY,F,2,Unknown,Brooklyn
ABBY,M,10,Yorkshire Terrier,Manhattan
ABBY,F,6,"Poodle, Miniature",Manhattan
ABBY,F,7,"Poodle, Toy",Queens
ABBY,F,6,Boston Terrier,Queens
ABBY,F,3,Boston Terrier,Queens
ABBY,F,7,Cocker Spaniel,Staten Island
ABBY,F,7,"Poodle, Standard",Brooklyn
ABBY,F,5,Vizsla,Manhattan
ABBY,F,11,Unknown,Queens
ABBY,F,4,Unknown,Queens
ABBY,F,6,Boston Terrier,Queens
ABBY,F,9,Bichon Frise,Queens
ABBY,F,2,Poodle,Manhattan
ABBY,F,7,"Schnauzer, Miniature",Queens
ABBY,F,6,Yorkshire Terrier,Brooklyn
ABBY,F,10,Dalmatian,Queens
ABBY,F,6,"Poodle, Standard",Queens
ABBY,F,8,Labrador Retriever,Manhattan
ABBY,F,6,Greyhound,Manhattan
ABBY,F,6,Unknown,Brooklyn
ABBY,F,11,Unknown,Queens
ABBY,F,2,American Staffordshire Terrier,Manhattan
ABBY,F,3,Greyhound,Brooklyn
ABBY,F,2,Golden Retriever,Staten Island
ABBY,F,7,Unknown,Manhattan
ABBY,F,2,Pug,Bronx
ABBY,F,17,Pug,Manhattan
ABBY,F,3,Unknown,Manhattan
ABBY,F,3,Yorkshire Terrier,Bronx
ABBY,F,2,Labrador Retriever Crossbreed,Manhattan
ABBY,F,9,Unknown,Brooklyn
ABBY,F,6,Boston Terrier,Brooklyn
ABBY,F,15,Wheaton Terrier,Manhattan
ABBY,F,5,Unknown,Staten Island
ABBY,F,4,Shih Tzu,Manhattan
ABBY,M,2,Labrador Retriever Crossbreed,Queens
ABBY,F,12,Rottweiler,Brooklyn
ABBY,F,2,Shih Tzu,Manhattan
ABBY,F,3,Yorkshire Terrier,Bronx
ABBY,F,6,"Schnauzer, Miniature",Staten Island
ABBY,F,12,Jack Russell Terrier,Queens
ABBY,F,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
ABBY,F,3,Chihuahua,Manhattan
ABBY,F,14,Golden Retriever,Queens
ABBY,F,5,Unknown,Queens
ABBY,F,5,American Staffordshire Terrier,Queens
ABBY,F,1,Shih Tzu,Bronx
ABBY,F,9,Labrador Retriever,Brooklyn
ABBY,F,4,Havanese,Manhattan
ABBY,F,3,Labrador Retriever,Brooklyn
ABBY,F,7,Cocker Spaniel,Manhattan
ABBY,F,2,Beagle Crossbreed,Bronx
ABBY,F,5,Unknown,Queens
ABBY,F,11,Wire Fox Terrier,Staten Island
ABBY,F,8,"Schnauzer, Miniature",Manhattan
ABBY,F,10,Great Pyrenees,Staten Island
ABBY,F,6,Golden Retriever,Queens
ABBY,F,7,Cavalier King Charles Spaniel,QUEENS
ABBY,F,13,Labrador Retriever Crossbreed,Queens
ABBY,F,5,Unknown,Queens
ABBY,F,3,Unknown,Staten Island
ABBY,F,4,Pug,Staten Island
ABBY,F,5,Australian Shepherd,Queens
ABBY,F,5,German Shepherd Crossbreed,Brooklyn
ABBY,F,2,Unknown,Queens
ABBY,F,7,Labradoodle,Brooklyn
ABBY,F,11,Yorkshire Terrier,Queens
ABBY,F,3,English Springer Spaniel,Staten Island
ABBY,F,7,Unknown,Queens
ABBY,F,12,Boston Terrier,Staten Island
ABBY,F,9,Labrador Retriever,Staten Island
ABBY,F,5,Labrador Retriever,Manhattan
ABBY,F,13,Labrador Retriever,Staten Island
ABBY,F,11,Labrador Retriever Crossbreed,Manhattan
ABBY,F,15,Collie Crossbreed,Brooklyn
ABBY,F,2,Labrador Retriever,Brooklyn
ABBY,F,3,Unknown,Brooklyn
ABBY,F,17,Bichon Frise,Manhattan
ABBY,F,2,Labrador Retriever Crossbreed,Manhattan
ABBY,F,1,French Bulldog,Queens
ABBY,F,6,Labrador Retriever Crossbreed,Brooklyn
ABBY,F,2,Labrador Retriever Crossbreed,Manhattan
ABBY,F,3,"Poodle, Standard",Staten Island
ABBY,F,7,Cavalier King Charles Spaniel,Queens
ABBY,F,1,Cocker Spaniel,Manhattan
ABBY,F,5,Chihuahua,Queens
ABBY,F,4,Golden Retriever,Brooklyn
ABBY,F,8,Chihuahua,Manhattan
ABBY,F,2,Unknown,Queens
ABBY,F,11,Pug,Bronx
ABBY,F,3,Unknown,Manhattan
ABBY,F,3,Unknown,Queens
ABBY,F,13,Bichon Frise,Staten Island
ABBY,F,9,Labrador Retriever,Manhattan
ABBY,F,5,Maltese,Bronx
ABBY,F,4,Pointer,Queens
ABBY,F,5,Beagle Crossbreed,Staten Island
ABBY,F,12,Yorkshire Terrier,Bronx
ABBY,F,4,Labrador Retriever,Queens
ABBY,F,12,Labrador Retriever,Manhattan
ABBY,F,7,Pomeranian,Manhattan
ABBY,F,1,Staffordshire Bull Terrier,Manhattan
ABBY,F,6,Beagle,Queens
ABBY,F,6,Bassett Hound,Staten Island
ABBY,F,5,Unknown,Brooklyn
ABBY,F,5,Unknown,Manhattan
ABBY,F,6,Boston Terrier,Queens
ABBY,F,8,Puli,Manhattan
ABBY,F,6,Unknown,Queens
ABBY,F,4,Shih Tzu,Manhattan
ABBY,F,4,Cavalier King Charles Spaniel,Brooklyn
ABBY,F,3,Unknown,Queens
ABBY,M,6,Yorkshire Terrier,Manhattan
ABBY,F,1,Goldendoodle,Staten Island
ABBY,F,6,Unknown,Brooklyn
ABBY,F,4,Pharaoh Hound,Manhattan
ABBY,F,2,Terrier mix,Brooklyn
ABBY,M,3,Maltese Crossbreed,Manhattan
ABBY,F,6,Chow Chow,Staten Island
ABBY,F,9,German Shepherd Dog,Brooklyn
ABBY,F,13,Jack Russell Terrier,Staten Island
ABBY,F,4,Miniature Pinscher,Manhattan
ABBY,F,4,Unknown,Queens
ABBY,F,9,Shih Tzu,Manhattan
ABBY,F,7,"Poodle, Standard",Brooklyn
ABBY,F,12,Yorkshire Terrier,Manhattan
ABBY,F,5,Vizsla,Manhattan
ABE,M,5,Unknown,Brooklyn
ABE,M,8,Chihuahua,Brooklyn
ABE,M,2,American Pit Bull Terrier/Pit Bull,Queens
ABE,M,8,Italian Greyhound,Manhattan
ABE,M,3,"Bull Dog, French",Queens
ABE,M,4,Labrador Retriever,Manhattan
ABE,M,10,Unknown,Brooklyn
ABE,M,6,Havanese,Brooklyn
ABECROMBIE,F,11,Puggle,Staten Island
ABEJA,F,1,Unknown,Brooklyn
ABEL,M,4,Chihuahua,Bronx
